,protocol,date,TVL,Fee,Supply,Staking,Unique Addresses,User Growth,price,amount,vol,New Addresses,Active Addresses,Zero Addresses,Number of Transactions,volume,Unnamed: 3,code quality and transparency,biggest drawdown,Correlation
3031,gns,2022-02-22,153465430.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2530039.674,,7.0,1000953659.17838,5
3032,gns,2022-02-22,342639825.2201,0,259304.85732746325,0,51.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2530039.674,,7.0,1000953659.17838,5
3033,gns,2022-02-23,149137206.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,4141509.977,,7.0,1000953659.17838,5
3034,gns,2022-02-23,342144343.49278,0,259304.85732746325,0,64.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,4141509.977,,7.0,1000953659.17838,5
3035,gns,2022-02-24,124215529.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2314101.081,,7.0,1000953659.17838,5
3036,gns,2022-02-24,342411590.06738,0,259304.85732746325,0,43.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2314101.081,,7.0,1000953659.17838,5
3037,gns,2022-02-25,136335712.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2279966.549,,7.0,1000953659.17838,5
3038,gns,2022-02-25,342951790.58523,0,259304.85732746325,0,72.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2279966.549,,7.0,1000953659.17838,5
3039,gns,2022-02-26,135043248.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1868087.401,,7.0,1000953659.17838,5
3040,gns,2022-02-26,342792647.59612,0,259304.85732746325,0,42.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1868087.401,,7.0,1000953659.17838,5
3041,gns,2022-02-27,149116760.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1890692.98,,7.0,1000953659.17838,5
3042,gns,2022-02-27,342864965.20088,0,259304.85732746325,0,43.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1890692.98,,7.0,1000953659.17838,5
3043,gns,2022-02-28,139843110.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2019863.101,,7.0,1000953659.17838,5
3044,gns,2022-02-28,342876199.71944,0,259304.85732746325,0,24.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2019863.101,,7.0,1000953659.17838,5
3045,gns,2022-03-01,147235487.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2059307.363,,7.0,1000953659.17838,5
3046,gns,2022-03-01,340057135.89483,0,259304.85732746325,0,28.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2059307.363,,7.0,1000953659.17838,5
3047,gns,2022-03-02,137245364.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1933630.927,,7.0,1000953659.17838,5
3048,gns,2022-03-02,345156981.08337,0,259304.85732746325,0,34.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1933630.927,,7.0,1000953659.17838,5
3049,gns,2022-03-03,147518366.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1724576.871,,7.0,1000953659.17838,5
3050,gns,2022-03-03,353451008.54291,0,259304.85732746325,0,20.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1724576.871,,7.0,1000953659.17838,5
3051,gns,2022-03-04,155065702.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1953306.349,,7.0,1000953659.17838,5
3052,gns,2022-03-04,356530361.22476,0,259304.85732746325,0,52.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1953306.349,,7.0,1000953659.17838,5
3053,gns,2022-03-05,157830355.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2888812.941,,7.0,1000953659.17838,5
3054,gns,2022-03-05,356768960.0128,0,259304.85732746325,0,37.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2888812.941,,7.0,1000953659.17838,5
3055,gns,2022-03-06,148945181.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2658645.28,,7.0,1000953659.17838,5
3056,gns,2022-03-06,354524609.93366,0,259304.85732746325,0,36.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2658645.28,,7.0,1000953659.17838,5
3057,gns,2022-03-07,159040070.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2326461.22,,7.0,1000953659.17838,5
3058,gns,2022-03-07,350353607.76563,0,259304.85732746325,0,47.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2326461.22,,7.0,1000953659.17838,5
3059,gns,2022-03-08,185105576.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2285549.472,,7.0,1000953659.17838,5
3060,gns,2022-03-08,351616943.54178,0,259304.85732746325,0,39.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2285549.472,,7.0,1000953659.17838,5
3061,gns,2022-03-09,194626469.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1424432.9,,7.0,1000953659.17838,5
3062,gns,2022-03-09,351934833.17615,0,259304.85732746325,0,38.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1424432.9,,7.0,1000953659.17838,5
3063,gns,2022-03-10,201743122.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2958284.057,,7.0,1000953659.17838,5
3064,gns,2022-03-10,353716648.21482,0,259304.85732746325,0,31.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,2958284.057,,7.0,1000953659.17838,5
3065,gns,2022-03-11,204937376.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1726421.559,,7.0,1000953659.17838,5
3066,gns,2022-03-11,353320524.90438,0,259304.85732746325,0,34.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1726421.559,,7.0,1000953659.17838,5
3067,gns,2022-03-12,208386513.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1599226.383,,7.0,1000953659.17838,5
3068,gns,2022-03-12,352484353.5806,0,259304.85732746325,0,68.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1599226.383,,7.0,1000953659.17838,5
3069,gns,2022-03-13,189695832.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1407860.459,,7.0,1000953659.17838,5
3070,gns,2022-03-13,354417445.55206,0,259304.85732746325,0,101.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1407860.459,,7.0,1000953659.17838,5
3071,gns,2022-03-14,205262348.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1380523.201,,7.0,1000953659.17838,5
3072,gns,2022-03-14,351599988.29563,0,259304.85732746325,0,64.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1380523.201,,7.0,1000953659.17838,5
3073,gns,2022-03-15,196471393.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1515321.985,,7.0,1000953659.17838,5
3074,gns,2022-03-15,350469816.88541,0,259304.85732746325,0,30.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1515321.985,,7.0,1000953659.17838,5
3075,gns,2022-03-16,193444994.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1766379.358,,7.0,1000953659.17838,5
3076,gns,2022-03-16,347671063.5415,0,259304.85732746325,0,34.0,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1766379.358,,7.0,1000953659.17838,5
3077,gns,2022-03-17,197612904.0,0,259304.85732746325,0,87.88808664259928,0,4.423593321950405,6421600.361131259,1.196620105725838,169.40664375715923,433.2164948453608,135.49942726231387,622.2359679266896,1959878.772,,7.0,1000953659.17838,5
